Program,BA ELS,BA FIL,BA HISTORY,BA POL SCI,BA PSYCH,BA SOCIO,BEED Lang Ed,BEED SCI MAT,BET-CET,BET-CHET,BET-ELET,BET-ESET,BET-MET,BET-MMT,BPED,BS ECON,BS ENTREP,BS HM,BS PHIL,BS PSYCH,BSA,BSBA-B.ECON,BSBA-MKT MGT,BSBIO(AnBio),BSBIO(Bdv),BSBIO(MCB),BSBIO(PlBio),BSCA,BSCE,BSCERE,BSCHE,BSCHEM,BSCPE,BSCS,BSED BIO,BSED CHEM,BSED FIL,BSED MATH,BSED PHYS,BSEE,BSEM,BSEnE,BSEsE,BSIAM,BSIS,BSIT,BSMARINE BIO,BSMATH,BSME,BSMETE,BSNURSING,BSPHYSICS,BSSTAT,BTLED-HE,BTLED-IA,BTVTED-DT
BSBA-B.ECON,162.7786211,101.1405938,93.94071392,146.0657123,145.0458808,101.7289439,124.9157238,149.7438426,118.4325066,184.5997055,174.5566884,144.3214787,125.7374969,149.8662891,121.1369497,44.40011467,80.81261393,136.4480001,87.22269266,140.6168825,119.3446185,0,80.95988471,90.64634814,81.15460684,86.00253007,88.02523968,107.3184179,149.1108257,163.2731757,251.0898992,118.9822387,188.4483313,87.93071025,137.9291633,142.2074297,103.010477,107.2364539,128.9208315,242.8154285,119.2735051,308.8767772,252.1538391,149.3065566,94.67776477,100.6099223,112.4141842,85.75982115,136.8073653,147.6653904,188.4254157,184.6675008,117.1335711,132.8284759,163.0323168,176.2607177
BSBA-MKT MGT,166.7167828,106.4118684,107.4470554,149.5984432,149.3649893,107.6978049,129.0074725,154.4883719,122.7400415,186.4674844,177.2327652,146.464723,129.8135718,152.660223,124.0097058,86.9087637,68.0730799,128.3310504,93.20129259,145.6295444,118.8322262,80.95988471,0,97.31284741,90.44373887,94.15356218,97.05223787,115.2419672,152.471174,166.0191587,252.9380963,124.8266439,188.5155878,94.10634204,143.2429089,147.7112127,109.6269853,115.3836176,134.6002195,241.3056158,122.2303412,313.1814835,254.3101071,155.7063202,91.77213477,105.2543562,119.2486929,93.96960622,140.7900243,149.7386724,190.4965622,191.1670386,124.1621454,136.6064133,167.3030934,180.4284804
BSBIO(AnBio),162.3347138,104.538651,101.2715494,150.1672297,143.6671536,92.87722501,126.0934623,147.8016478,119.3656392,181.8899168,170.8631426,145.086017,124.8347468,142.9099129,121.9417758,85.82353865,93.20115709,146.3849449,89.04484376,136.2866909,134.3897774,90.64634814,97.31284741,0,45.24515879,46.02878026,60.89241739,108.1789961,148.577999,162.5587268,250.1334248,103.291958,185.6373687,90.16599841,127.8858567,132.6068263,105.811533,108.3031985,121.3001764,238.1228889,120.5422527,306.7594917,254.1550344,152.089055,101.7783041,104.6663956,93.67619647,83.37185466,135.304777,145.5918062,186.8684112,182.0091431,117.2313095,136.8197838,163.0929961,179.2501578
BSBIO(Bdv),156.8842195,96.91225504,90.20229502,142.3989164,140.4343022,87.22612958,120.4160108,143.2908845,113.0751952,179.5558624,171.0532885,139.6529804,119.3329889,143.914067,115.4219408,76.25155651,83.70068253,140.6276263,80.00665178,133.7605,128.8073922,81.15460684,90.44373887,45.24515879,0,43.09478171,51.79529551,99.85252519,143.4846498,156.6465139,247.4046765,103.1150939,183.778855,79.94530611,124.4157771,132.3568254,98.26810897,101.9268779,117.9579608,240.9676751,115.5121506,308.1989675,250.7217692,147.2742103,92.10691595,96.02123339,94.40554448,74.90566491,129.8224119,138.76116,183.6382317,181.7092802,110.9883169,130.8216472,158.0587518,174.7858824
BSBIO(MCB),160.0496693,99.72064098,96.87445956,148.1391624,142.4561222,92.2508302,121.5960324,144.3624029,117.9445304,182.0472171,172.9474633,142.0012973,123.5859763,146.9827676,119.2882571,81.37034919,90.34497871,144.8054306,83.27876126,136.0791373,132.04256,86.00253007,94.15356218,46.02878026,43.09478171,0,61.34686166,105.2090514,146.3394258,160.3400094,249.161778,107.0773487,186.3106287,86.09319341,125.3664985,134.1226912,101.1027501,105.9094679,119.184489,242.5442574,118.5423201,309.6608492,252.647867,148.0544074,99.88270857,102.0601744,94.55931118,80.21127455,132.8257845,142.9366036,184.5542162,183.5376526,114.0726221,132.3729345,161.5307927,176.8750272
BSBIO(PlBio),161.1037542,102.7836608,98.92972211,149.5329146,143.1970015,91.56128215,123.5132906,147.2039372,118.9701944,182.2753969,171.2879105,144.6054952,122.6619565,143.091292,120.8843595,83.79037373,92.65557588,145.6473951,88.1079582,135.353945,133.921976,88.02523968,97.05223787,60.89241739,51.79529551,61.34686166,0,107.5499624,148.5593456,159.9744676,250.2420904,103.8436827,185.6625014,88.79964477,132.0190318,134.8892983,102.710982,106.1822514,123.5262561,237.7876655,120.0892763,307.6946315,253.7398405,151.6348739,101.8282766,104.4665406,100.3006651,81.81829545,134.9828498,141.5290073,187.162347,182.0155457,116.3611858,134.8503505,160.9955274,177.5075562
BSCA,173.4777675,124.5254838,122.3212516,163.2368698,161.0206762,122.014787,142.593622,165.6038308,126.5411237,191.9923653,177.2769147,135.5150429,132.0769038,153.3004021,136.8725155,107.1495322,112.8906348,157.225796,110.3596948,155.446308,145.5319718,107.3184179,115.2419672,108.1789961,99.85252519,105.2090514,107.5499624,0,155.5817168,170.0372853,254.8242481,136.0528452,170.4852587,68.42239035,152.6273615,157.0326161,125.0589492,123.5789928,145.0513479,245.1996204,135.0013351,313.8958752,246.781293,146.2623924,96.97941011,83.85269969,129.5824135,103.3230775,143.4192913,157.2281269,199.4212292,193.1159888,127.2811003,150.5501579,167.7900586,190.1674752
BSCE,203.1252757,160.2619188,156.454272,191.4112123,189.2856298,158.54896,174.7641089,191.3139791,90.71653691,126.1203617,169.9223063,135.1204019,98.52899042,133.6522229,170.4399175,148.0761953,149.2388714,185.6927371,147.9993697,182.1331502,178.6713565,149.1108257,152.471174,148.577999,143.4846498,146.3394258,148.5593456,155.5817168,0,106.1597154,140.3965781,161.5768137,152.3267736,139.8437163,178.6718964,183.9124057,160.0600208,158.6257798,172.1224585,196.1428443,120.6553081,222.5931548,189.9733495,142.8612097,146.3563494,144.529886,161.8092739,143.3493061,64.90909424,82.94719758,221.3630588,201.0621401,158.5820306,178.1705449,200.2977841,210.7858473
BSCERE,213.7033029,170.4526036,169.5567215,202.2352614,201.0421164,171.8708838,182.3052354,197.7418601,123.6467075,139.9996955,181.8939005,154.2199109,119.7686434,135.0325226,182.5620973,161.773468,162.7442665,197.1608123,160.2646277,194.2515343,189.7568236,163.2731757,166.0191587,162.5587268,156.6465139,160.3400094,159.9744676,170.0372853,106.1597154,0,169.5326701,165.6613211,172.1816832,154.9313753,183.573804,191.0102113,170.5067673,171.312295,178.1699796,211.6314346,136.3558623,239.623839,211.897332,155.6960452,161.720145,161.2495511,174.5749571,158.0509002,102.7610639,105.7426128,232.1895068,218.8065172,169.5247587,189.4418615,203.748013,217.9502545
BSCHE,286.7824948,257.5523057,255.5162929,278.0423053,275.7005018,256.5946371,266.8788872,277.1166101,190.1333462,155.0509858,239.9444604,216.212574,185.6340151,203.1486117,264.5161546,250.7094464,251.1091036,273.2546244,250.289977,272.2586947,269.0531833,251.0898992,252.9380963,250.1334248,247.4046765,249.161778,250.2420904,254.8242481,140.3965781,169.5326701,0,252.9435737,213.5395865,242.7414303,266.3811004,270.6761809,257.8113328,257.8757228,263.4613999,232.6357267,214.5315227,185.8767047,219.4135013,219.0838665,246.9607126,244.0813047,257.8557162,248.8605229,149.9179941,155.6073382,300.9345137,291.9003121,254.8779065,270.6561823,284.7239954,292.9022347
