,School,Type
285,Manjuyod National High School,Public
286,Manticao National High School,Public
287,Manticao Senior High School,Private
288,Manukan National High School,Public
289,Mapandi Memorial College/HS Dept,Private
290,Marbel 7 National High School,Public
291,Marcela T Mabanta Meml Natl High Sch,Public
292,Marcelo Spinola School,Private
293,Maria Clara L. Lobregat National HS,Public
294,Maria Cristina National High School,Public
295,Marian College/HS Dept,Private
296,Masbate Nat'l Comprehensive High School,Public
297,Master Technological Institute of Mindanao,Private
298,Masters Technological Institute of Mindanao,Private
299,Matungao National High School,Public
300,Max Mirafuentes Academy,Private
301,Medina Foundation College,Private
302,Medina National Comprehensive High Sch,Public
303,Mercy Junior College/HS Dept,Private
304,Merry Child School,Private
305,Midsalip National High School,Public
306,Mimbunga National High School,Public
307,Mindanao Institute,Private
308,Mindanao Mission Academy,Private
309,Mindanao University of Science & Technology,Science
310,Misamis Institute of Technology,Private
311,Misamis Occidental Nat'l High Sch,Public
312,Misamis Occidental Science & Tech HS,Science
313,Misamis University,Private
314,Misamis University/HS Dept,Private
315,Misamis University/HS Dept - Aguada,Private
316,Mobod Integrated School,Public
317,Molave Vocational Technical School,Private
318,Mother of Mercy Academy,Private
319,Mount Carmel College/HS Dept,Private
320,Nabunturan Nat'l Comp High Sch,Public
321,Nanuri International School,Public
322,Nasipit National High School,Public
323,"National Institute for Technical Excellence, Inc.",Private
324,Nazareth High School,Private
325,New Corella National High School,Public
326,Northeastern Mindanao Academy,Public
327,Northeastern Mindanao Col/HSD,Public
328,"Northern Mindanao Colleges, Inc./HSD",Private
329,Northwestern Mind'o State Col of S&T,Laboratory
330,Northwestern Mind. State College of Sci. & Tech.,Laboratory
331,Northwestern Mindanao State Col. of S&T,Laboratory
332,Notre Dame - RVM College of Cotabato,Private
333,Notre Dame University,Private
334,Notre Dame Village National High School,Public
335,Notre Dame of Bongao,Private
336,Notre Dame of Dadiangas University/Senior High School,Private
337,Notre Dame of Dadiangas-IBED (Espina Campus),Private
338,Notre Dame of Graeter Manila,Private
339,Notre Dame of Kidapawan Col/HS Dept,Private
340,Notre Dame of Marbel Univ.-IBED-High Sch,Private
341,Notre Dame of Midsayap/HS Dept,Private
342,Notre Dame of Parang/HS Dept,Private
343,Notre Dame of Salaman Col/HSD,Private
344,Notre Dame of Sto. Ni??o/HS Dept,Private
345,Opol Nati'l Secondary Tech'l Sch,Public
346,Our Lady of Perpetual Help Academy,Private
347,Out-of-School Youth,Private
348,Ozamis City School of Arts and Trades,Public
349,Ozamiz City National High School,Public
350,Ozamiz City Technical Vocational School,Private
351,Pagadian Capitol College/HS Dept.,Private
352,Pagadian City Institute of Technology,Private
353,Pagadian City Nat'l High Sch-Annex,Public
354,Pagadian City Science High School,Science
355,Pagadian Junior College/HS Dept,Private
356,Palawan National School,Public
357,Panaon Community High School,Private
358,Panolo-on National High School,Public
359,Pantao Ragat Agro Industrial High Sch,Private
360,Pantar National High School,Public
361,Phil. Sci. High Sch- Balo-i,Private
362,Phil. Sci. High Sch- So Mindanao ,Private
363,Phil. Sci. High Sch-Central Mindanao,Private
364,Philippine Advent College/HS Dept,Private
365,Philippine Emirates Private School,Private
366,"Philippine Engineering & Agro-Industrial College, Inc.",Private
367,Philippine Integrated School,Public
368,Philippine Science High School - Caraga Region Campus,Science
369,Philippine Science High School - Socsksargen Region Campus,Science
370,Philippine Science High School-SOCCSKSARGEN,Science
371,Philippine South Field School,Private
372,Philippine Women's College of Davao,Private
373,Phinma Cagayan de Oro College,Private
374,Pilgrim Christian College/HS Dept,Private
375,Placer National High School,Public
376,Placida Mequiabas National High School,Public
377,Poblacion Comprehensive National High School,Public
378,Polanco National High School,Public
379,Polomolok NHS,Public
380,Ponot National High School,Public
381,Portulin National High School,Public
382,Pres. Garcia Memorial Institute of Tech,Private
383,Presbitero High School,Private
384,Prophets Pen Academy - Senior High School,Private
385,Puerto Galera National High School,Public
386,Puga-an National High School,Public
387,Quezon Institute of Technology,Private
388,Quezon National High Sch,Public
389,RC-Al Khwarizmi International College,Public
390,Ramon Teves Pastor Mem'l. Dumaguete SHS,Private
391,Regional Science High School - Zamboanga,Science
392,Regis Grace Montessori School - Senior High School Dept.,Private
393,Rizal Memorial Colleges - DSEP,Private
394,Rizal National High Sch-ZdN,Public
395,SMC High School,Private
396,SPED Integrated School,Public
397,STI College - CdO,Private
398,STI College - Malaybalay City,Private
399,STI Iligan,Private
400,STI Pagadian ,Private
401,Sacred Heart College/High Sch Dept,Private
402,"Sacred Heart Diocesan School, Inc.",Private
403,Sacred Heart High School,Private
404,Sacred Heart High School - IC,Private
405,Saint Francis Xavier College,Private
406,Saint Louis School/HS Dept.,Private
407,Saint Paul University - HS Dept.,Private
408,Saint Theresa College,Private
409,Saint Vincent's Academy,Private
410,Saint Vincent's College,Private
411,Salaman Institute,Private
412,Salvacion NHS - AdS,Public
413,Salvador NHS,Public
414,San Agustin Institute of Technology,Private
415,San Isidro Academy,Private
416,San Isidro High School - LdS,Private
417,San Isidro High School - ZdS,Private
418,San Luis NHS,Public
419,San Miguel National High School - Maramag,Public
420,San Nicolas Academy,Private
421,San Pablo NHS - ZdS,Public
422,San Pedro College of Davao,Private
423,Santo Ni??o National High School,Public
424,Santo Ni̱o National High School,Public
425,Sapa Anding NHS,Public
426,School of St. John the Baptist,Private
427,Sergio P. Cerujales Jr. NHS,Public
428,Siargao National Science High School,Science
429,Siay National High School,Public
430,Sibagat NHS of Home Industries,Public
431,Sibugon Integrated School,Public
432,Silliman University,Private
433,Sindangan Nat'l High School,Public
434,Sinonoc NHS,Public
435,Siocon Institute of Technology,Private
436,Siquijor Provincial Science High Sch,Science
437,Siquijor State College,Laboratory
438,"Sisters of Mary School - Girlstown, Inc.",Private
439,Sisters of Mary School Boystown,Private
440,Socorro NHS,Public
441,Solomon P. Lozada NHS,Public
442,South Hill School Incorporated - Senior High School Dept.,Private
443,South Western Career College/HS Dept,Private
444,Southern Christian College/HSD,Private
445,Southern Mindanao Colleges,Private
446,Southern Mindanao Colleges/HSD,Private
447,Southern University Phinma,Private
448,Southway College of Tech,Private
449,St. Agustin Intsitute,Private
450,St. Andrew's Academy,Private
451,St. Catherine Academy,Private
452,St. Columban College Senior High School,Private
453,St. Columban College/HS Dept,Private
454,St. Francis Xavier Academy,Private
455,St. Francis Xavier High School,Private
456,St. Isidore the Farmer Catholic School,Private
457,St. James High School,Private
458,St. John's School,Private
459,St. Joseph Institute of Technology,Private
460,St. Laurence Institute of Technology,Private
461,"St. Lorenzo School of Polomolok, Inc.",Private
462,St. Mary's Academy of Carmen,Private
463,"St. Mary's College of Labason, Inc.",Private
464,St. Mary's School,Private
465,St. Matthew's High School - Aloran,Private
466,St. Michael College - Cantilan,Private
467,St. Michael College of Caraga,Private
468,St. Michael Institute,Private
469,St. Michael's College,Private
470,St. Michael's College/HS Dept,Private
471,St. Michael's College/HS Dept - Iligan,Private
472,St. Michael's High School,Private
473,St. Nicholas School of Plaridel,Private
474,St. Paul Institute of Technology,Private
475,St. Paul School of Buug,Private
476,St. Paul University Surigao,Private
477,St. Paul's Institute of Technology,Private
478,St. Peter's College,Private
479,St. Peter's College/HS Dept,Private
480,St. Therese Academy - IC,Private
481,St. Therese Academy-IC,Private
482,St. Therese Community of Learners,Private
483,St. Vincent Academy,Private
484,St. Vincent de Paul College/HS Dept,Private
485,Sta. Monica Institute of Technology,Private
486,Sta. Teresita Academy,Private
487,Star of the Sea High School,Private
488,Stella Maris College/HS Dept,Private
489,Suarez NHS,Public
490,Sulangon NHS,Public
491,Sultan Angin Memorial National High School,Public
492,Sultan Dimasangcay Mananggolo Integrated School,Public
493,Sultan Kudarat State University / Science Laboratory High School,Science
494,Sultan Kudarat State University Lab. High School - Senior High School,Laboratory
495,Sultan Naga Dimaporo Memorial Integrated  School,Public
496,Surigao City NHS,Public
497,Surigao Education Center,Private
498,Surigao State Col of Tech/HSD-Narciso St.,Laboratory
499,Surigao del Norte National High School,Public
500,Systems Technology Institute - CdO,Private
501,Systems Technology Institute - IC,Private
502,Systems Technology Institute - Kalibo,Private
503,Systems Technology Institute - SC,Private
504,Systems Technology Institute - ZC,Private
505,Systems Technology Institute College - Dipolog,Private
506,Tabo-o Integrated School,Public
507,Tabon M. Estrella NHS,Public
508,Tagbilaran City Science High School,Science
509,Tagbina NHS,Public
510,Tagoloan Community College,Private
511,Tagoloan National High School - Mis Or,Public
512,Tagum City National High School,Public
