CITY_HOME,proportion
Matungao,0.0012964563526361278
Ozamiz City,0.0012964563526361278
Mainit,0.0012964563526361278
Sindangan,0.0012964563526361278
Panaon,0.0012964563526361278
Kumalarang,0.0012964563526361278
Opol,0.0012964563526361278
Tagum City,0.0012964563526361278
Manolo Fortich,0.0012964563526361278
Labangan,0.0012964563526361278
Balabagan,0.0012964563526361278
Initao,0.0012964563526361278
Polomolok,0.0012964563526361278
Lapuyan,0.000864304235090752
Pantao Ragat,0.000864304235090752
Balindong,0.000864304235090752
Josefina,0.000864304235090752
Cotabato City,0.000864304235090752
Tagbina,0.000864304235090752
Bacuag,0.000864304235090752
Malaybalay City,0.000864304235090752
Valencia City,0.000864304235090752
Kitcharao,0.000864304235090752
Guipos,0.000864304235090752
Poona Bayabao,0.000864304235090752
Monkayo,0.000864304235090752
Balingasag,0.000864304235090752
Dinas,0.000864304235090752
Hinatuan,0.000864304235090752
San Agustin,0.000864304235090752
Tagoloan,0.000864304235090752
Trento,0.000864304235090752
Sapang Dalaga,0.000864304235090752
Lebak,0.000864304235090752
Tabina,0.000864304235090752
Dimataling,0.000864304235090752
Placer,0.000864304235090752
Magsaysay,0.000864304235090752
Carcar,0.000432152117545376
San Pablo,0.000432152117545376
Maramag,0.000432152117545376
LINAMON,0.000432152117545376
San Fernando,0.000432152117545376
Siocon,0.000432152117545376
Tubay,0.000432152117545376
Wao,0.000432152117545376
Bubong,0.000432152117545376
El Salvador,0.000432152117545376
Jasaan,0.000432152117545376
New Bataan,0.000432152117545376
Tubaran,0.000432152117545376
Godod,0.000432152117545376
Lingig,0.000432152117545376
Poona Piagapo,0.000432152117545376
San Luis,0.000432152117545376
Salug,0.000432152117545376
Sibagat,0.000432152117545376
Cabanglasan,0.000432152117545376
Isabel,0.000432152117545376
Digos City,0.000432152117545376
Hagonoy,0.000432152117545376
KOLAMBUGAN,0.000432152117545376
Midsalip,0.000432152117545376
Banisilan,0.000432152117545376
Sergio Osmena Sr.,0.000432152117545376
Koronadal City,0.000432152117545376
Don Carlos,0.000432152117545376
Cortes,0.000432152117545376
Datu Odin Sinsuat,0.000432152117545376
Vincenzo Sagun,0.000432152117545376
Alicia,0.000432152117545376
Los Ba̱os,0.000432152117545376
San Remigio,0.000432152117545376
Sison,0.000432152117545376
Bacolod City,0.000432152117545376
El Salvador City,0.000432152117545376
Marantao,0.000432152117545376
Caloocan City,0.000432152117545376
Katipunan,0.000432152117545376
Pilar,0.000432152117545376
Kidapawan City,0.000432152117545376
Talisayan,0.000432152117545376
Jolo,0.000432152117545376
Cagdianao,0.000432152117545376
Pualas,0.000432152117545376
Asuncion,0.000432152117545376
Margosatubig,0.000432152117545376
Alubijid,0.000432152117545376
Bantayan,0.000432152117545376
Impasug-ong,0.000432152117545376
Sominot,0.000432152117545376
Pigcawayan,0.000432152117545376
Lumba Bayabao,0.000432152117545376
Compostela,0.000432152117545376
Banga,0.000432152117545376
Claveria,0.000432152117545376
Quezon,0.000432152117545376
Imelda,0.000432152117545376
Labason,0.000432152117545376
Lazi,0.000432152117545376
Munai,0.000432152117545376
Pagayawan,0.000432152117545376
Talacogon,0.000432152117545376
Isulan,0.000432152117545376
